primary_id	durbin_id	species
ILBCDS5879572	HemOxy1	Hemitilapia_oxyrhynchus
ILBCDS5421990	LetLet1	Lethrinops_lethrinus
ILBCDS6101008	DimKiw6	Dimidiochromis_kiwinge
ILBCDS6101006	TaiHol1	Taeniochromis_holotaenia
ILBCDS6101002	RhaLon16	Rhamphochromis_longiceps
ILBCDS6101017	CopLik1	Copadichromis_likomae
ILBCDS5421986	AltMac1	Alticorpus_macrocleithrum
ILBCDS6101023	TaeFur3	Taeniolethrinops_furcicauda
ILBCDS5879578	DipGre1	Diplotaxodon_greenwoodi
ILBCDS6101010	TaePra3	Taeniolethrinops_praeorbitalis
ILBCDS6101027	DimStr4	Dimidiochromis_strigatus
ILBCDS6101015	HetOxy2	Hemitilapia_oxyrhynchus
ILBCDS6101004	TyrNig4	Tyrannochromis_nigriventer
ILBCDS6101007	TaeMac1	Taeniolethrinops_macrorhynchus
ILBCDS5421999	OtoTet1	Otopharynx_tetrastigma
ILBCDS6101003	StiGut1	Stigmatochromis_macrorhynchos
ILBCDS6101014	StiMod1	Stigmatochromis_modestus
ILBCDS6101012	MylEri1	Mylochromis_ericotaenia
ILBCDS6101031	OtoLit1	Otopharynx_lithobates
ILBCDS6101026	CteNit2	Ctenopharynx_nitidus
ILBCDS5879908	CalKit1	Astatotilapia_calliptera
ILBCDS6101030	DimDim1	Dimidiochromis_dimidiatus
ILBCDS5879564	GenMen1	Genyochromis_mento
ILBCDS5879569	LabTre5	Labeotropheus_trewavasae
ILBCDS6101009	ProSpi3	Protomelas_spilopterus
ILBCDS5879568	IodSpr1	Iodotropheus_sprengerae
ILBCDS5879929	CalMas643	Astatotilapia_calliptera
ILBCDS5879909	CalRov2	Astatotilapia_calliptera
ILBCDS5421972	OtoBro1	Otopharynx_brooksi_nkhata
ILBCDS5879930	CalMas644	Astatotilapia_calliptera
ILBCDS6101029	DipNgu1	Diplotaxodon_ngulube
ILBCDS5879567	ProSpi2	Protomelas_spilopterus
ILBCDS5879944	CalIta9	Astatotilapia_calliptera
ILBCDS5879945	CalIta10	Astatotilapia_calliptera
ILBCDS5879956	CalIta21	Astatotilapia_calliptera
ILBCDS5879560	AltPet23	Alticorpus_peterdaviesi
ILBCDS5879946	CalIta11	Astatotilapia_calliptera
ILBCDS5879959	CalIta24	Astatotilapia_calliptera
ILBCDS5879962	CalIta27	Astatotilapia_calliptera
ILBCDS5879963	CalIta28	Astatotilapia_calliptera
ILBCDS6101032	RhaEso1	Rhamphochromis_esox
ILBCDS5879911	CalLuw1	Astatotilapia_calliptera
ILBCDS6101022	RhaKin2	Rhamphochromis_Kingiri_dwarf
ILBCDS5421993	NimPol1	Nimbochromis_polystigma
ILBCDS5879563	FosRos37	Fossorochromis_rostratus
ILBCDS5421982	CopMlo1	Copadichromis_mloto
ILBCDS5879556	CopBor3	Copadichromis_borleyi
ILBCDS5421995	AulStu9	Aulonocara_stuartgranti
ILBCDS5421994	AulStu5	Aulonocara_stuartgranti
ILBCDS5421998	LetAlb1	Lethrinops_albus
ILBCDS5422000	LetAur1	Lethrinops_auritus
ILBCDS5421987	PlaMil1	Placidochromis_milomo
ILBCDS5421991	PlaJoh1	Placidochromis_johnstoni
ILBCDS5421988	PlaEle1	Placidochromis_electra
ILBCDS5421992	NimLin1	Nimbochromis_linni
ILBCDS5421989	NimLiv1	Nimbochromis_livingstonii
CopAnsF17350462	CopVir144	Copadichromis_virginalis
CopAnsF17350487	CopChr106	Copadichromis_chrysonotus
CopAnsF17350486	CopChr105	Copadichromis_chrysonotus
CopAnsF17350490	CopChr109	Copadichromis_chrysonotus
CopAnsF17350489	CopChr108	Copadichromis_chrysonotus
CopAnsF17350491	CopChr110	Copadichromis_chrysonotus
CopAnsF17350488	CopChr107	Copadichromis_chrysonotus
CopAnsF17350484	CopChr103	Copadichromis_chrysonotus
CopAnsF17350483	CopChr102	Copadichromis_chrysonotus
CopAnsF17350485	CopChr104	Copadichromis_chrysonotus
CopAnsF17350480	CopChr99	Copadichromis_chrysonotus
CopAnsF17350482	CopChr101	Copadichromis_chrysonotus
CopAnsF17350481	CopChr100	Copadichromis_chrysonotus
CopAnsF17350458	CopVir141	Copadichromis_virginalis
ILBCDS5879579	DimStr3	Dimidiochromis_strigatus
ILBCDS5879907	CalChy1	Astatotilapia_calliptera
ILBCDS5879555	CynAfr1	Cynotilapia_afra
ILBCDS5879559	CynAxe1	Cynotilapia_axelrodi
ILBCDS5879565	FosRos38	Fossorochromis_rostratus
ILBCDS5879570	FosRos3	Fossorochromis_rostratus
CopAnsF17350461	CopVir143	Copadichromis_virginalis
ILBCDS5879964	CalIta29	Astatotilapia_calliptera
ILBCDS5879965	CalIta30	Astatotilapia_calliptera
ILBCDS5879966	CalIta31	Astatotilapia_calliptera
ILBCDS5879967	CalIta32	Astatotilapia_calliptera
ILBCDS5879842	CalMas579	Astatotilapia_calliptera
ILBCDS5879843	CalMas580	Astatotilapia_calliptera
ILBCDS5879951	CalIta16	Astatotilapia_calliptera
ILBCDS5879952	CalIta17	Astatotilapia_calliptera
CopAnsF17350467	CopVir148	Copadichromis_virginalis
ILBCDS5421973	CalMas7	Astatotilapia_calliptera
ILBCDS5421974	CalMas8	Astatotilapia_calliptera
ILBCDS5421996	CalMas11	Astatotilapia_calliptera
ILBCDS5421979	CalMas9	Astatotilapia_calliptera
ILBCDS5421997	CalMas12	Astatotilapia_calliptera
ILBCDS5421984	CalMas10	Astatotilapia_calliptera
ILBCDS5879931	CalMas645	Astatotilapia_calliptera
ILBCDS5879932	CalMas646	Astatotilapia_calliptera
ILBCDS5879933	CalMas647	Astatotilapia_calliptera
ILBCDS5879934	CalMas648	Astatotilapia_calliptera
ILBCDS5879935	CalMas649	Astatotilapia_calliptera
ILBCDS5879880	CalMas617	Astatotilapia_calliptera
ILBCDS5879881	CalMas618	Astatotilapia_calliptera
ILBCDS5879882	CalMas619	Astatotilapia_calliptera
ILBCDS5879883	CalMas620	Astatotilapia_calliptera
ILBCDS5879884	CalMas621	Astatotilapia_calliptera
ILBCDS5879885	CalMas622	Astatotilapia_calliptera
ILBCDS5879886	CalMas623	Astatotilapia_calliptera
ILBCDS5879887	CalMas624	Astatotilapia_calliptera
ILBCDS5879888	CalMas625	Astatotilapia_calliptera
ILBCDS5879889	CalMas626	Astatotilapia_calliptera
ILBCDS5879913	CalMas627	Astatotilapia_calliptera
ILBCDS5879914	CalMas628	Astatotilapia_calliptera
ILBCDS5879915	CalMas629	Astatotilapia_calliptera
CopAnsF17350456	CopVir139	Copadichromis_virginalis
ILBCDS5879552	ChiRho4	Chilotilapia_rhoadesii
CopAnsF17350463	CopVir145	Copadichromis_virginalis
ILBCDS5879553	DimCom1	Dimidiochromis_compressiceps
ILBCDS5879953	CalIta18	Astatotilapia_calliptera
ILBCDS5879954	CalIta19	Astatotilapia_calliptera
ILBCDS5879955	CalIta20	Astatotilapia_calliptera
ILBCDS5879957	CalIta22	Astatotilapia_calliptera
ILBCDS5879958	CalIta23	Astatotilapia_calliptera
ILBCDS5879550	AulBlu11	Aulonocara_blue_Chilumba
ILBCDS5879912	CalBua1	Astatotilapia_calliptera
ILBCDS5879947	CalIta12	Astatotilapia_calliptera
ILBCDS5879948	CalIta13	Astatotilapia_calliptera
ILBCDS5879949	CalIta14	Astatotilapia_calliptera
ILBCDS5879950	CalIta15	Astatotilapia_calliptera
ILBCDS5879960	CalIta25	Astatotilapia_calliptera
ILBCDS5879961	CalIta26	Astatotilapia_calliptera
ILBCDS5879844	CalMas581	Astatotilapia_calliptera
ILBCDS5879845	CalMas582	Astatotilapia_calliptera
ILBCDS5879846	CalMas583	Astatotilapia_calliptera
ILBCDS5879847	CalMas584	Astatotilapia_calliptera
ILBCDS5879870	CalMas607	Astatotilapia_calliptera
ILBCDS5879871	CalMas608	Astatotilapia_calliptera
ILBCDS5879872	CalMas609	Astatotilapia_calliptera
ILBCDS5879873	CalMas610	Astatotilapia_calliptera
ILBCDS5879874	CalMas611	Astatotilapia_calliptera
ILBCDS5879848	CalMas585	Astatotilapia_calliptera
ILBCDS5879849	CalMas586	Astatotilapia_calliptera
ILBCDS5879850	CalMas587	Astatotilapia_calliptera
ILBCDS5879851	CalMas588	Astatotilapia_calliptera
ILBCDS5879852	CalMas589	Astatotilapia_calliptera
ILBCDS5879853	CalMas590	Astatotilapia_calliptera
ILBCDS5879854	CalMas591	Astatotilapia_calliptera
ILBCDS5879855	CalMas592	Astatotilapia_calliptera
ILBCDS5879856	CalMas593	Astatotilapia_calliptera
ILBCDS5879857	CalMas594	Astatotilapia_calliptera
ILBCDS5879858	CalMas595	Astatotilapia_calliptera
ILBCDS5879859	CalMas596	Astatotilapia_calliptera
ILBCDS5879860	CalMas597	Astatotilapia_calliptera
ILBCDS5879861	CalMas598	Astatotilapia_calliptera
ILBCDS5879862	CalMas599	Astatotilapia_calliptera
ILBCDS5879863	CalMas600	Astatotilapia_calliptera
ILBCDS5421975	CalMas3	Astatotilapia_calliptera
ILBCDS5421978	CalMas6	Astatotilapia_calliptera
ILBCDS5421976	CalMas4	Astatotilapia_calliptera
ILBCDS5421977	CalMas5	Astatotilapia_calliptera
ILBCDS5421971	CalMas2	Astatotilapia_calliptera
ILBCDS5421970	CalMas1	Astatotilapia_calliptera
ILBCDS5879875	CalMas612	Astatotilapia_calliptera
ILBCDS5879876	CalMas613	Astatotilapia_calliptera
ILBCDS5879877	CalMas614	Astatotilapia_calliptera
ILBCDS5879878	CalMas615	Astatotilapia_calliptera
ILBCDS5879879	CalMas616	Astatotilapia_calliptera
ILBCDS5879916	CalMas630	Astatotilapia_calliptera
ILBCDS5879917	CalMas631	Astatotilapia_calliptera
ILBCDS5879918	CalMas632	Astatotilapia_calliptera
ILBCDS5879864	CalMas601	Astatotilapia_calliptera
ILBCDS5879865	CalMas602	Astatotilapia_calliptera
ILBCDS5879866	CalMas603	Astatotilapia_calliptera
ILBCDS5879867	CalMas604	Astatotilapia_calliptera
ILBCDS5879868	CalMas605	Astatotilapia_calliptera
ILBCDS5879869	CalMas606	Astatotilapia_calliptera
ILBCDS5879919	CalMas633	Astatotilapia_calliptera
ILBCDS5879920	CalMas634	Astatotilapia_calliptera
ILBCDS5879921	CalMas635	Astatotilapia_calliptera
ILBCDS5879922	CalMas636	Astatotilapia_calliptera
ILBCDS5879923	CalMas637	Astatotilapia_calliptera
ILBCDS5879806	CalMas549	Astatotilapia_calliptera
ILBCDS5879807	CalMas550	Astatotilapia_calliptera
ILBCDS5879808	CalMas551	Astatotilapia_calliptera
ILBCDS5879809	CalMas552	Astatotilapia_calliptera
ILBCDS5879810	CalMas553	Astatotilapia_calliptera
ILBCDS5879924	CalMas638	Astatotilapia_calliptera
ILBCDS5879925	CalMas639	Astatotilapia_calliptera
ILBCDS5879926	CalMas640	Astatotilapia_calliptera
ILBCDS5879927	CalMas641	Astatotilapia_calliptera
ILBCDS5879928	CalMas642	Astatotilapia_calliptera
ILBCDS5879811	CalMas554	Astatotilapia_calliptera
ILBCDS5879812	CalMas555	Astatotilapia_calliptera
ILBCDS5879813	CalMas556	Astatotilapia_calliptera
ILBCDS5879815	CalMas557	Astatotilapia_calliptera
ILBCDS5879816	CalMas558	Astatotilapia_calliptera
ILBCDS5879817	CalMas559	Astatotilapia_calliptera
ILBCDS5879818	CalMas560	Astatotilapia_calliptera
ILBCDS5879819	CalMas561	Astatotilapia_calliptera
ILBCDS5879820	CalMas562	Astatotilapia_calliptera
ILBCDS5879822	CalMas563	Astatotilapia_calliptera
ILBCDS5879825	CalMas564	Astatotilapia_calliptera
ILBCDS5879827	CalMas565	Astatotilapia_calliptera
ILBCDS5879828	CalMas566	Astatotilapia_calliptera
ILBCDS5879829	CalMas567	Astatotilapia_calliptera
ILBCDS5879830	CalMas568	Astatotilapia_calliptera
ILBCDS5879831	CalMas569	Astatotilapia_calliptera
ILBCDS5879832	CalMas570	Astatotilapia_calliptera
ILBCDS5879833	CalMas571	Astatotilapia_calliptera
ILBCDS5879834	CalMas572	Astatotilapia_calliptera
ILBCDS5879835	CalMas573	Astatotilapia_calliptera
ILBCDS5879836	CalMas574	Astatotilapia_calliptera
ILBCDS5879837	CalMas575	Astatotilapia_calliptera
ILBCDS5879839	CalMas576	Astatotilapia_calliptera
ILBCDS5879840	CalMas577	Astatotilapia_calliptera
ILBCDS5879841	CalMas578	Astatotilapia_calliptera
ILBCDS5879968	CalMas650	Astatotilapia_calliptera
ILBCDS5879969	CalMas651	Astatotilapia_calliptera
ILBCDS5879970	CalMas652	Astatotilapia_calliptera
ILBCDS5879971	CalMas653	Astatotilapia_calliptera
ILBCDS5879972	CalMas654	Astatotilapia_calliptera
ILBCDS6101020	DipWhi1	Diplotaxodon_similis_white_back
CopAnsF17350459	CopVir142	Copadichromis_virginalis
CopAnsF17350465	CopVir147	Copadichromis_virginalis
ILBCDS6101005	RhaWoo2	Rhamphochromis_woodi
ILBCDS5879580	PlaLon1	Placidochromis_longimanus
ILBCDS5879581	PlaLon2	Placidochromis_longimanus
ILBCDS5879582	PlaLon3	Placidochromis_longimanus
ILBCDS5879583	PlaLon4	Placidochromis_longimanus
ILBCDS5879584	PlaLon5	Placidochromis_longimanus
ILBCDS5879910	CalKye1	Astatotilapia_calliptera
CopAnsF17350464	CopVir146	Copadichromis_virginalis
CopAnsF17350455	CopVir138	Copadichromis_virginalis
CopAnsF17350446	CopVir130	Copadichromis_virginalis
CopAnsF17350457	CopVir140	Copadichromis_virginalis
CopAnsF17350447	CopVir131	Copadichromis_virginalis
CopAnsF17350448	CopVir132	Copadichromis_virginalis
CopAnsF17350445	CopVir129	Copadichromis_virginalis
CopAnsF17350451	CopVir135	Copadichromis_virginalis
CopAnsF17350479	CopChr98	Copadichromis_chrysonotus
CopAnsF17350478	CopChr97	Copadichromis_chrysonotus
CopAnsF17350450	CopVir134	Copadichromis_virginalis
CopAnsF17350454	CopVir137	Copadichromis_virginalis
CopAnsF17350476	CopChr95	Copadichromis_chrysonotus
CopAnsF17350475	CopChr94	Copadichromis_chrysonotus
CopAnsF17350473	CopChr92	Copadichromis_chrysonotus
CopAnsF17350472	CopChr91	Copadichromis_chrysonotus
CopAnsF17350469	CopChr88	Copadichromis_chrysonotus
CopAnsF17350470	CopChr89	Copadichromis_chrysonotus
CopAnsF17350477	CopChr96	Copadichromis_chrysonotus
CopAnsF17350474	CopChr93	Copadichromis_chrysonotus
CopAnsF17350471	CopChr90	Copadichromis_chrysonotus
CopAnsF17350468	CopChr87	Copadichromis_chrysonotus
CopAnsF17350449	CopVir133	Copadichromis_virginalis
CopAnsF17350452	CopVir136	Copadichromis_virginalis
ILBCDS6101019	RhaKin1	Rhamphochromis_Kingiri_brevis
cichlid7050797	RhaChi1	Rhamphochromis_Chilingali
cichlid7050798	RhaChi2	Rhamphochromis_Chilingali
ILBCDS5438975	LetLon3	Lethrinops_longimanus
ILBCDS5438979	AltGeo1	Alticorpus_geoffreyi
ILBCDS5879549	AulGld1	Aulonocara_gold
ILBCDS5438976	CopQua1	Copadichromis_quadrimaculatus
ILBCDS5438977	CopVir12	Copadichromis_virginalis
ILBCDS5438978	LetOli1	Lethrinops_oliveri
ILBCDS5422001	LetGos4	Lethrinops_gossei
ILBCDS5879557	AulYel1	Aulonocara_yellow
ILBCDS5879558	AulMin1	Aulonocara_minutus
ILBCDS6101028	PalTok1	Pallidochromis_tokolosh
ILBCDS5421980	BucRho4	Buccochromis_rhoadesii
ILBCDS5421981	MylAna4	Mylochromis_anaphyrmus
ILBCDS5421985	TrePla17	Trematocranus_placodon
ILBCDS5438970	CalChl1	Astatotilapia_calliptera
ILBCDS5438969	CalChz1	Astatotilapia_calliptera
ILBCDS5438971	CalMba1	Astatotilapia_calliptera
ILBCDS5438968	CalRov1	Astatotilapia_calliptera
cichlid7050805	RhaChi9	Rhamphochromis_Chilingali
ILBCDS5438973	AulStu2	Aulonocara_stuartgranti
ILBCDS5438972	AulStu1	Aulonocara_stuartgranti
ILBCDS5438974	AulStu6	Aulonocara_stuartgranti
ILBCDS5438982_AULO	AulStu6	Aulonocara_stuartgranti
ILBCDS5879574	TroTro1	Tropheops_tropheops
ILBCDS5879577	PetGen15	Petrotilapia_genalutea
ILBCDS5879936	CalIta1	Astatotilapia_calliptera
ILBCDS5879937	CalIta2	Astatotilapia_calliptera
ILBCDS5879938	CalIta3	Astatotilapia_calliptera
ILBCDS5879939	CalIta4	Astatotilapia_calliptera
ILBCDS5879940	CalIta5	Astatotilapia_calliptera
ILBCDS5879941	CalIta6	Astatotilapia_calliptera
ILBCDS5879942	CalIta7	Astatotilapia_calliptera
ILBCDS5879943	CalIta8	Astatotilapia_calliptera
ILBCDS5879554	DipMac2	Diplotaxodon_macrops_black_dorsal
ILBCDS5879541	BucNot3	Buccochromis_nototaenia
ILBCDS5879585	CopVir17	Copadichromis_virginalis
ILBCDS5879587	CopVir18	Copadichromis_virginalis
ILBCDS5879566	FosRos2	Fossorochromis_rostratus
cichlid7050804	RhaChi8	Rhamphochromis_Chilingali
ILBCDS5438963	CalSal2	Astatotilapia_calliptera
ILBCDS5438962	CalSal1	Astatotilapia_calliptera
ILBCDS5438964	CalSal3	Astatotilapia_calliptera
ILBCDS5879539	ChaCae1	Champsochromis_caeruleus
ILBCDS5879540	ChaCae2	Champsochromis_caeruleus
ILBCDS5879902	CalChi1	Astatotilapia_calliptera
ILBCDS5879529	ChiRho1	Chilotilapia_rhoadesii
ILBCDS5879530	ChiRho2	Chilotilapia_rhoadesii
ILBCDS5879531	ChiRho3	Chilotilapia_rhoadesii
ILBCDS5879524	CopTri1	Copadichromis_trimaculatus
ILBCDS5879532	CteInt1	Ctenopharynx_intermedius
ILBCDS5879533	CteInt2	Ctenopharynx_intermedius
ILBCDS5879534	CteInt3	Ctenopharynx_intermedius
ILBCDS5879544	CteNit1	Ctenopharynx_nitidus
ILBCDS5879525	CopVir13	Copadichromis_virginalis
ILBCDS5879526	CopVir14	Copadichromis_virginalis
ILBCDS5879527	CopVir15	Copadichromis_virginalis
ILBCDS5879528	CopVir16	Copadichromis_virginalis
CICHM16429648	DipLim1	Diplotaxodon_limnothrissa
CICHM16429649	DipLim2	Diplotaxodon_limnothrissa
CICHM16429616	RhaLon1	Rhamphochromis_longiceps
CICHM16429635	MayZeb1	Maylandia_zebra
cichlid6978767	PseLuc1	Pseudotropheus_lucerna
cichlid6993892	PseLuc2	Pseudotropheus_lucerna
cichlid6978768	TroRus1	Tropheops_rust
cichlid6993893	ProFen1	Protomelas_fenestratus
cichlid6993894	DimKiw1	Dimidiochromis_kiwinge
cichlid6993895	DimKiw2	Dimidiochromis_kiwinge
cichlid6978769	MayCal1	Maylandia_callainos
cichlid6993896	ProIns1	Protomelas_insignis
CICHM16429666	GepLaw1	Gephyrochromis_lawsi
cichlid6993897	PetMic1	Petrotilapia_microgalana
CICHM16429714	TraBre1	Tramitichromis_brevis
cichlid6993898	PetMic2	Petrotilapia_microgalana
CICHM16429636	MayZbg1	Maylandia_zebra_gold
cichlid6993899	PetTri1	Petrotilapia_tridentiger
cichlid6993900	CtePic1	Ctenopharynx_pictus
cichlid6993901	TaeLat1	Taeniolethrinops_laticeps
cichlid6993902	PetMic3	Petrotilapia_microgalana
cichlid6978770	ChnElo1	Chindongo_elongatus
cichlid6993903	MylEpi1	Mylochromis_epichoralis
CICHM16429731	CopKaw1	Copadichromis_kawanga
cichlid6993904	PetMic4	Petrotilapia_microgalana
cichlid6993905	TroRus2	Tropheops_rust
cichlid6978771	CynAfr2	Cynotilapia_afra
cichlid6978773	CynAfr3	Cynotilapia_afra
cichlid6993906	AulUnk1	Aulonocara_sp
cichlid6978774	CynAfr4	Cynotilapia_afra
cichlid6978775	MayZeb3	Maylandia_zebra
cichlid6993907	TraUnk1	Tramitichromis_sp
CICHM16429637	MayZeb4	Maylandia_zebra
cichlid6993908	PetMic5	Petrotilapia_microgalana
cichlid6993909	PetMic6	Petrotilapia_microgalana
cichlid6993910	PseLuc3	Pseudotropheus_lucerna
cichlid6993911	PetMic7	Petrotilapia_microgalana
cichlid6993912	PetTri2	Petrotilapia_tridentiger
CICHM16429638	MayZeb5	Maylandia_zebra
cichlid6993913	PetMic8	Petrotilapia_microgalana
cichlid6978776	TroDee1	Tropheops_deep_gold
cichlid6993914	PetTri3	Petrotilapia_tridentiger
cichlid6993915	MylMol1	Mylochromis_mollis
CICHM16429639	MayZeb6	Maylandia_zebra
CICHM16429640	MayZeb7	Maylandia_zebra
cichlid6993916	ProTae1	Protomelas_taeniolatus
cichlid6978777	TroOli1	Tropheops_olive
cichlid6993917	LetFur1	Lethrinops_furcifer
cichlid6993918	TroOli2	Tropheops_olive
cichlid6993919	TroOli3	Tropheops_olive
cichlid6978778	ChnMin1	Chindongo_minutus
cichlid6993920	PseInt1	Pseudotropheus_interruptus
CICHM16429721	DipSim1	Diplotaxodon_similis_large
cichlid6978779	DipBig1	Diplotaxodon_big_eye
cichlid6993921	DipBig2	Diplotaxodon_big_eye
cichlid6978780	DipHol1	Diplotaxodon_holochromis
CICHM16429650	DipLim3	Diplotaxodon_limnothrissa
CICHM16429651	DipLim4	Diplotaxodon_limnothrissa
cichlid6978781	RhaUnk1	Rhamphochromis_sp
CICHM16429618	RhaLon2	Rhamphochromis_longiceps
cichlid6978782	CopQua2	Copadichromis_quadrimaculatus
CICHM16429685	TyrMac1	Tyrannochromis_macrostoma
CICHM16429665	CyrMoo1	Cyrtocara_moorii
cichlid6993922	MelLor1	Melanochromis_loriae
cichlid6993923	PetMic9	Petrotilapia_microgalana
cichlid6993924	PetMic10	Petrotilapia_microgalana
cichlid6978783	MayAur1	Maylandia_aurora
CICHM16429697	DimKiw3	Dimidiochromis_kiwinge
CICHM16429700	DimStr1	Dimidiochromis_strigatus
cichlid6978784	TroBla1	Tropheops_black
cichlid6993928	TroBla2	Tropheops_black
CICHM16429569	PetGen1	Petrotilapia_genalutea
cichlid6993929	ProLab1	Protomelas_labridens
cichlid6993930	DimKiw4	Dimidiochromis_kiwinge
cichlid6993931	ProKir1	Protomelas_kirkii
CICHM16429598	CopVir1	Copadichromis_virginalis
CICHM16429736	CopVir2	Copadichromis_virginalis
CICHM16429737	CopVir4	Copadichromis_virginalis
CICHM16429738	CopVir5	Copadichromis_virginalis
cichlid6993932	CopVir6	Copadichromis_virginalis
cichlid6993933	CopVir7	Copadichromis_virginalis
cichlid6993934	CopVir8	Copadichromis_virginalis
cichlid6993935	CopVir9	Copadichromis_virginalis
cichlid6993936	CopVir10	Copadichromis_virginalis
cichlid6993937	CopVir11	Copadichromis_virginalis
cichlid6993938	CopVir19	Copadichromis_virginalis
cichlid6993939	CopVir20	Copadichromis_virginalis
cichlid6993940	CopVir21	Copadichromis_virginalis
cichlid6993941	CopVir22	Copadichromis_virginalis
cichlid6993942	CopVir23	Copadichromis_virginalis
cichlid6993943	CopVir24	Copadichromis_virginalis
cichlid6993944	CopVir25	Copadichromis_virginalis
cichlid6993945	CopVir26	Copadichromis_virginalis
cichlid6993946	CopVir27	Copadichromis_virginalis
cichlid6993947	CopVir28	Copadichromis_virginalis
cichlid6993948	CopVir29	Copadichromis_virginalis
CICHM16429617	RhaLon3	Rhamphochromis_longiceps
CICHM16429619	RhaLon4	Rhamphochromis_longiceps
CICHM16429620	RhaLon5	Rhamphochromis_longiceps
cichlid6993949	PetMic11	Petrotilapia_microgalana
cichlid6993951	TroUnk1	Tropheops_sp
cichlid6993952	TroOli4	Tropheops_olive
cichlid6993953	SciUnk1	Sciaenochromis_sp
cichlid6978787	RhaWoo1	Rhamphochromis_woodi
CICHM16429682	TyrNig1	Tyrannochromis_nigriventer
cichlid6978788	DipHol3	Diplotaxodon_holochromis
CICHM16429641	MayZeb8	Maylandia_zebra
cichlid6978789	TroMau1	Tropheops_mauve
cichlid6993954	TroBla3	Tropheops_black
CICHM16429667	LbdCae1	Labidochromis_caeruleus
cichlid6978790	CynAur1	Cynotilapia_aurifrons
cichlid6993955	ProSpi1	Protomelas_spilopterus
cichlid6993956	OtoBro2	Otopharynx_brooksi
cichlid6993957	TroRed2	Tropheops_red_fin
cichlid6993958	MelRob1	Melanochromis_robustus
cichlid6978863	PseEle1	Pseudotropheus_elegans
cichlid6993959	TroBla4	Tropheops_black
CICHM16429674	LabTre1	Labeotropheus_trewavasae
cichlid6993960	TroOli5	Tropheops_olive
cichlid6993961	TroBla5	Tropheops_black
CICHM16429642	MayZeb9	Maylandia_zebra
cichlid6993962	PetMic13	Petrotilapia_microgalana
CICHM16429643	MayZeb10	Maylandia_zebra
CICHM16429722	RhaGre1	Rhamphochromis_grey
CICHM16429621	RhaLon6	Rhamphochromis_longiceps
cichlid6993963	LbdUnk1	Labidochromis_sp
cichlid6978864	ChnMin2	Chindongo_minutus
CICHM16429678	LabFue1	Labeotropheus_fuelleborni
CICHM16429694	ProSim1	Protomelas_similis
cichlid6978865	PseFus1	Pseudotropheus_fuscus
cichlid6978866	TroBan1	Tropheops_band
cichlid6993964	TroBan2	Tropheops_band
cichlid6993965	TroBan3	Tropheops_band
cichlid6993966	TroBan4	Tropheops_band
cichlid6993967	TroBan5	Tropheops_band
cichlid6993968	TroUnk2	Tropheops_sp
cichlid6978867	TroBan6	Tropheops_band
cichlid6993969	AulUnk2	Aulonocara_sp
cichlid6993970	AulUnk3	Aulonocara_sp
CICHM16429688	BucRho1	Buccochromis_rhoadesii
CICHM16429691	BucNot1	Buccochromis_nototaenia
cichlid6993971	HemUro1	Hemitaeniochromis_urotaenia
cichlid6993972	OtoSpe3	Otopharynx_speciosus
CICHM16429703	MylAna1	Mylochromis_anaphyrmus
CICHM16429706	AulRos1	Aulonocara_rostratum
cichlid6993973	PlaPol1	Placidochromis_polli
cichlid6993974	PlaPol2	Placidochromis_polli
cichlid6993975	PlaPol3	Placidochromis_polli
CICHM16429570	PetGen2	Petrotilapia_genalutea
CICHM16429571	PetGen3	Petrotilapia_genalutea
CICHM16429572	PetGen4	Petrotilapia_genalutea
cichlid6993976	PetBla1	Petrotilapia_black_flanks
cichlid6993977	PetRua1	Petrotilapia_ruare
cichlid6978868	TroOra1	Tropheops_orange_head
cichlid6993978	TroOra2	Tropheops_orange_head
cichlid6993979	TroOra3	Tropheops_orange_head
cichlid6993980	TroOra4	Tropheops_orange_head
cichlid6978869	TroChi1	Tropheops_chilumba
cichlid6993981	TroChi2	Tropheops_chilumba
cichlid6993982	TroChi3	Tropheops_chilumba
cichlid6993983	TroChi4	Tropheops_chilumba
cichlid6993984	TroChi5	Tropheops_chilumba
cichlid6993985	TroChi6	Tropheops_chilumba
cichlid6993986	TroOra5	Tropheops_orange_head
cichlid6993988	TroOra6	Tropheops_orange_head
cichlid6993989	TroChi7	Tropheops_chilumba
cichlid6993990	TroChi8	Tropheops_chilumba
cichlid6993991	TroChi9	Tropheops_chilumba
cichlid6993992	TroChi10	Tropheops_chilumba
cichlid6993993	TroChi11	Tropheops_chilumba
cichlid6993994	TroChi12	Tropheops_chilumba
cichlid6993995	TroChi13	Tropheops_chilumba
cichlid6993996	TroChi14	Tropheops_chilumba
cichlid6993997	TroChi15	Tropheops_chilumba
cichlid6993998	TroChi16	Tropheops_chilumba
CICHM16429675	LabTre2	Labeotropheus_trewavasae
cichlid6993999	LabTre3	Labeotropheus_trewavasae
cichlid6994000	LabTre4	Labeotropheus_trewavasae
cichlid6994001	LabTre6	Labeotropheus_trewavasae
cichlid6994002	LabTre7	Labeotropheus_trewavasae
cichlid6994003	LabTre8	Labeotropheus_trewavasae
cichlid6994004	LabTre9	Labeotropheus_trewavasae
cichlid6978870	LabFue2	Labeotropheus_fuelleborni
cichlid6978871	MayPea1	Maylandia_pearly
cichlid6994005	MayPea2	Maylandia_pearly
cichlid6994006	MayPea3	Maylandia_pearly
